,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E,True Strain Rate 1W,True Strain Rate 3W
30,30,30,30,30,30,30,30,30,30,30,0.00023846,-0.00038565937,-2.1606395e-05,-0.0003436305,-2.017318,-1.7021121,-5.8033667,-4.8965907,-0.015905516,-0.03365516,-2.3444038e-06,-9.368456e-06,-0.18267366,-0.1541309,-2.3444065e-06,-9.368499e-06,-0.18267323,-0.15413055,645.9886,512.86194,2.0275972,131.09903,129.99594,261.09497,-0.034234531245156546,0.015780348768895953
31,31,31,31,31,31,31,31,31,31,31,0.000246406,-0.00038684328,-2.131042e-05,-0.0003445184,-2.021716,-1.7065102,-5.816019,-4.9092426,-0.01636658,-0.033194132,-2.4726635e-06,-9.634136e-06,-0.18307193,-0.15452915,-2.4726667e-06,-9.634183e-06,-0.18307148,-0.15452877,649.9609,515.5157,1.9724276,132.47273,131.3581,263.8308,-0.03375756066357436,0.016234091167679956
32,32,32,32,32,32,32,32,32,32,32,0.000254356,-0.0003880272,-2.101444e-05,-0.00034540633,-2.0261145,-1.7109083,-5.828672,-4.9218955,-0.0168276,-0.0327331,-2.604588e-06,-9.896153e-06,-0.1834702,-0.15492743,-2.6045914e-06,-9.896202e-06,-0.18346973,-0.15492703,653.94525,518.1764,1.9180183,133.85085,132.72462,266.57547,-0.03328081333910939,0.016687584505833335
33,33,33,33,33,33,33,33,33,33,33,0.000262306,-0.0003892111,-2.071846e-05,-0.0003462943,-2.0305128,-1.7153069,-5.841325,-4.934549,-0.017288597,-0.03227207,-2.7401768e-06,-1.0154504e-05,-0.18386848,-0.15532573,-2.7401807e-06,-1.0154556e-05,-0.18386798,-0.1553253,657.9419,520.8441,1.8643698,135.23341,134.09555,269.32898,-0.032804295261049415,0.01714084967187699
34,34,34,34,34,34,34,34,34,34,34,0.000270255,-0.00039039503,-2.0422483e-05,-0.00034718224,-2.034911,-1.719705,-5.853977,-4.9472017,-0.01774964,-0.03181104,-2.8794302e-06,-1.0409191e-05,-0.18426675,-0.15572399,-2.8794343e-06,-1.0409245e-05,-0.18426621,-0.15572354,661.9507,523.51855,1.8114825,136.62067,135.47113,272.0918,-0.03232800414432128,0.017593954679444142
35,35,35,35,35,35,35,35,35,35,35,0.0002782,-0.00039157894,-2.0126505e-05,-0.0003480702,-2.039309,-1.7241033,-5.86663,-4.9598546,-0.018210659,-0.031350013,-3.0223482e-06,-1.0660214e-05,-0.18466501,-0.15612227,-3.0223528e-06,-1.066027e-05,-0.18466446,-0.15612179,665.9716,526.1999,1.7593563,138.01237,136.85112,274.8635,-0.03185194286992239,0.018046830905081707
36,36,36,36,36,36,36,36,36,36,36,0.00028615,-0.00039276286,-1.983053e-05,-0.00034895807,-2.0437074,-1.7285013,-5.879283,-4.9725065,-0.018671723,-0.030888984,-3.1689308e-06,-1.0907572e-05,-0.1850633,-0.15652052,-3.1689358e-06,-1.0907631e-05,-0.18506272,-0.15652002,670.00476,528.8878,1.7079915,139.40894,138.23595,277.6449,-0.03137610605827728,0.018499546301855803
37,37,37,37,37,37,37,37,37,37,37,0.0002941,-0.00039394677,-1.953455e-05,-0.00035014204,-2.0481057,-1.7343658,-5.891936,-4.9893775,-0.0189022,-0.030427953,-3.3182616e-06,-1.1151265e-05,-0.18546157,-0.15705158,-3.3182673e-06,-1.1151327e-05,-0.18546095,-0.15705106,674.05005,532.4828,1.6573868,139.90988,138.73267,278.64255,-0.03090049349685402,0.01872577318705635
38,38,38,38,38,38,38,38,38,38,38,0.000302047,-0.00039542664,-1.923857e-05,-0.0003510299,-2.0539699,-1.7387638,-5.9088054,-5.0020294,-0.019593785,-0.02996692,-3.4712573e-06,-1.1391294e-05,-0.18599258,-0.15744981,-3.4712632e-06,-1.1391359e-05,-0.18599194,-0.15744926,679.1238,535.1867,1.6075432,142.32954,141.13197,283.46152,-0.030425104973422296,0.0194042979735877
39,39,39,39,39,39,39,39,39,39,39,0.000309997,-0.00039661053,-1.923857e-05,-0.00035191787,-2.059834,-1.7431622,-5.9256754,-5.0146823,-0.01982426,-0.02996692,-3.6279173e-06,-1.16294905e-05,-0.1865236,-0.15784809,-3.627924e-06,-1.1629559e-05,-0.18652293,-0.15784752,683.19635,537.89777,1.6075432,143.69107,142.48204,286.1731,-0.030425104973422296,0.01963031833419612
40,40,40,40,40,40,40,40,40,40,40,0.000317947,-0.00039779444,-1.8942594e-05,-0.0003528058,-2.0642323,-1.7475603,-5.9383283,-5.0273347,-0.020285279,-0.029505894,-3.7873258e-06,-1.1865855e-05,-0.18692188,-0.15824637,-3.7873328e-06,-1.1865925e-05,-0.18692116,-0.15824577,687.28125,540.61554,1.5584611,145.10727,143.88632,288.9936,-0.029949949549679732,0.020082273485656745
41,41,41,41,41,41,41,41,41,41,41,0.000325893,-0.00039897836,-1.8646613e-05,-0.00035398972,-2.0686305,-1.7534246,-5.950981,-5.044205,-0.0205158,-0.029044861,-3.9494826e-06,-1.2098555e-05,-0.18732014,-0.1587774,-3.9494903e-06,-1.2098628e-05,-0.1873194,-0.15877678,691.3783,544.2499,1.5101392,145.61826,144.39302,290.0113,-0.029475012581996005,0.020308185754473608
