Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E
0.038956095,-0.00022435136,9.737679e-05,-4.9132337e-05,-0.62894577,-0.24336822,-1.8093344,-0.7001152,-0.21230417,0.15167877,-3.862842e-05,2.7849035e-05,-0.05695276,-0.022037659,-3.862917e-05,2.7848648e-05,-0.056950558,-0.022036808,327.91837,15.726902,61.77592,250.41554,248.30853,498.72406
0.03896355,-0.00022464733,9.737679e-05,-4.9428352e-05,-0.6304118,-0.24483448,-1.8135519,-0.7043333,-0.21230413,0.15167877,-4.02113e-05,2.8979908e-05,-0.057085514,-0.022170432,-4.0212108e-05,2.897949e-05,-0.05708322,-0.02216954,328.78412,15.916977,61.77592,251.09123,248.97853,500.06976
0.038971003,-0.00022523926,9.7672746e-05,-4.9428352e-05,-0.63187784,-0.24483448,-1.8177694,-0.7043333,-0.21299565,0.15213975,-4.1796757e-05,3.01125e-05,-0.05721827,-0.022170432,-4.179763e-05,3.0112047e-05,-0.057215877,-0.022169506,330.51904,15.916977,62.152004,252.45006,250.32594,502.776
0.03897846,-0.00022583125,9.7672746e-05,-4.9428352e-05,-0.63481015,-0.24483448,-1.8262049,-0.7043333,-0.21345669,0.15213975,-4.338651e-05,3.124681e-05,-0.057483796,-0.022170432,-4.338745e-05,3.1246323e-05,-0.057481304,-0.02216947,332.25873,15.916977,62.152004,254.18973,252.05096,506.2407
0.038985915,-0.0002261272,9.796871e-05,-4.972432e-05,-0.6348101,-0.2463005,-1.8262047,-0.70855075,-0.21368718,0.15260077,-4.497884e-05,3.238284e-05,-0.05748379,-0.022303184,-4.497985e-05,3.2382315e-05,-0.057481203,-0.02230218,333.13016,16.108164,62.529236,254.49275,252.35144,506.84418
0.038993374,-0.00022671919,9.796871e-05,-4.972432e-05,-0.63774246,-0.2463005,-1.8346405,-0.70855075,-0.21414822,0.15260077,-4.6573747e-05,3.3520588e-05,-0.057749324,-0.022303184,-4.6574834e-05,3.3520024e-05,-0.057746634,-0.022302145,334.87665,16.108164,62.529236,256.23926,254.08325,510.3225
0.039000828,-0.00022731112,9.796871e-05,-4.972432e-05,-0.6406744,-0.2463005,-1.843075,-0.70855075,-0.21460925,0.15260077,-4.8172096e-05,3.4658333e-05,-0.058014818,-0.022303184,-4.8173253e-05,3.4657733e-05,-0.058012024,-0.02230211,336.62756,16.108164,62.529236,257.99017,255.81943,513.8096
0.039008282,-0.00022790309,9.8264725e-05,-5.0020284e-05,-0.6421404,-0.24776651,-1.8472923,-0.7127681,-0.21507034,0.15306185,-4.9773877e-05,3.5797802e-05,-0.058147565,-0.022435935,-4.9775117e-05,3.579716e-05,-0.05814467,-0.022434818,338.38318,16.30049,62.907673,259.175,256.9943,516.1693
0.03901574,-0.00022819906,9.8264725e-05,-5.0020284e-05,-0.6436065,-0.24776651,-1.8515099,-0.7127681,-0.21530083,0.15306185,-5.137824e-05,3.6938985e-05,-0.058280326,-0.022435935,-5.137956e-05,3.6938305e-05,-0.05827733,-0.022434782,339.26263,16.30049,62.907673,260.05447,257.86636,517.92084
0.039023194,-0.00022879099,9.856069e-05,-5.0020284e-05,-0.64507246,-0.24776651,-1.8557272,-0.7127681,-0.21599235,0.15352286,-5.2986037e-05,3.808189e-05,-0.058413073,-0.022435935,-5.298744e-05,3.8081165e-05,-0.058409978,-0.022434747,341.02496,16.30049,63.28719,261.4373,259.23755,520.6748
0.03903065,-0.00022938296,9.856069e-05,-5.0316252e-05,-0.64800465,-0.24923253,-1.8641626,-0.7169855,-0.2162229,0.15352286,-5.4597276e-05,3.922651e-05,-0.058678593,-0.022568688,-5.4598764e-05,3.9225743e-05,-0.05867539,-0.022567455,342.79196,16.49396,63.28719,263.01083,260.79785,523.8087
0.039038107,-0.0002299749,9.885666e-05,-5.0316252e-05,-0.64947075,-0.24923253,-1.8683801,-0.7169855,-0.21691442,0.15398388,-5.621195e-05,4.037285e-05,-0.058811348,-0.022568688,-5.621353e-05,4.0372037e-05,-0.058808044,-0.02256742,344.56348,16.49396,63.667854,264.40167,262.17697,526.5786
0.03904556,-0.00023027092,9.885666e-05,-5.0316252e-05,-0.65093696,-0.24923253,-1.8725982,-0.7169855,-0.21714498,0.15398388,-5.783006e-05,4.152091e-05,-0.058944125,-0.022568688,-5.783173e-05,4.1520052e-05,-0.058940716,-0.022567382,345.45105,16.49396,63.667854,265.28925,263.0571,528.3463
