Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E,True Strain Rate 1W,True Strain Rate 3W
0.00020791375,-0.00023323068,-2.9597996e-07,-0.00013970163,-1.1567324,-0.691987,-3.327657,-1.9906898,-0.072612144,-0.00046103259,-1.4944068e-05,2.5069613e-07,-0.10474529,-0.06266131,-1.4944179e-05,2.506961e-07,-0.10474373,-0.062660374,354.38855,127.14852,0.000570733,227.23943,225.32742,452.56683,-0.00046114824,0.07009695
0.00021591043,-0.00023352669,-2.9597996e-07,-0.0001402936,-1.1581987,-0.6949192,-3.331875,-1.9991251,-0.072381645,-0.00046103259,-1.5523803e-05,2.4700938e-07,-0.10487806,-0.06292684,-1.5523923e-05,2.4700935e-07,-0.10487643,-0.06292586,355.2887,128.22835,0.000570733,227.05977,225.14928,452.20905,-0.00046114824,0.069881976
0.00022390712,-0.00023411862,-2.9597996e-07,-0.00014058957,-1.1611308,-0.69638526,-3.3403099,-2.0033426,-0.072612144,-0.00046103259,-1.6103537e-05,2.4332266e-07,-0.10514356,-0.06305959,-1.6103668e-05,2.4332263e-07,-0.10514187,-0.06305858,357.0921,128.76996,0.000570733,228.32158,226.40047,454.72205,-0.00046114824,0.07009695
0.0002319038,-0.00023471058,-2.9597996e-07,-0.00014088555,-1.1640629,-0.6978513,-3.348745,-2.00756,-0.072842665,-0.00046103259,-1.6685115e-05,2.3963594e-07,-0.10540908,-0.063192345,-1.6685255e-05,2.396359e-07,-0.10540732,-0.06319129,358.90015,129.31271,0.000570733,229.58685,227.6551,457.24194,-0.00046114824,0.070311874
0.00023990049,-0.00023530252,-5.9195503e-07,-0.0001411815,-1.168461,-0.6993173,-3.3613975,-2.0117772,-0.07284268,-0.0009220576,-1.7267615e-05,2.3410587e-07,-0.10580734,-0.06332509,-1.7267765e-05,2.3410584e-07,-0.105805516,-0.063324,360.71274,129.85657,0.002282894,230.8539,228.91148,459.76538,-0.00092250924,0.070311874
0.00024789717,-0.00023559853,-5.9195503e-07,-0.00014147752,-1.1699272,-0.70078355,-3.3656156,-2.0159953,-0.07284268,-0.0009220576,-1.7850116e-05,2.2673245e-07,-0.10594011,-0.06345786,-1.7850274e-05,2.2673244e-07,-0.10593822,-0.06345673,361.62088,130.40167,0.002282894,231.2169,229.27144,460.48834,-0.00092250924,0.070311874
0.00025589386,-0.00023619046,-5.9195503e-07,-0.00014177349,-1.1728593,-0.7022496,-3.3740504,-2.020213,-0.07307318,-0.0009220576,-1.8433537e-05,2.1935905e-07,-0.10620561,-0.063590616,-1.8433706e-05,2.1935904e-07,-0.10620365,-0.063589446,363.44028,130.94786,0.002282894,232.49013,230.53395,463.02408,-0.00092250924,0.07052663
0.00026389054,-0.00023678245,-5.9195503e-07,-0.0001423654,-1.1757916,-0.70518154,-3.3824859,-2.0286474,-0.07307323,-0.0009220576,-1.901788e-05,2.1198565e-07,-0.10647114,-0.06385612,-1.901806e-05,2.1198564e-07,-0.10646912,-0.0638549,365.2644,132.04356,0.002282894,233.21854,231.25623,464.47476,-0.00092250924,0.07052674
0.0002718872,-0.00023737438,-5.9195503e-07,-0.00014266142,-1.1787236,-0.70664775,-3.3909206,-2.0328655,-0.0733037,-0.0009220576,-1.9603145e-05,2.0461225e-07,-0.106736645,-0.06398889,-1.9603336e-05,2.0461223e-07,-0.10673455,-0.063987635,367.09293,132.59325,0.002282894,234.49739,232.5243,467.0217,-0.00092250924,0.07074146
0.00027988388,-0.00023767033,-5.9195503e-07,-0.00014295739,-1.1801896,-0.7081138,-3.3951378,-2.037083,-0.073303685,-0.0009220576,-2.018933e-05,1.9723885e-07,-0.10686939,-0.06412164,-2.0189535e-05,1.9723883e-07,-0.10686723,-0.064120345,368.00888,133.14398,0.002282894,234.8626,232.88646,467.74905,-0.00092250924,0.07074146
