,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E,True Strain Rate 1W,True Strain Rate 3W
21,21,21,21,21,21,21,21,21,21,21,21,0.000163884,-0.00023323068,-1.953455e-05,-0.00017433104,-1.2520273,-0.8635176,-3.6017985,-2.4841442,-0.030658474,-0.030427953,-4.784269e-06,-5.252892e-06,-0.113374494,-0.07819388,-4.784281e-06,-5.252906e-06,-0.11337395,-0.07819351,236.25903,131.99776,1.6573868,102.6039,101.740585,204.34448,-0.03090049349685402,0.030197893125085053
22,22,22,22,22,22,22,22,22,22,22,22,0.000171687,-0.00023382265,-1.953455e-05,-0.00017492301,-1.2549595,-0.86644983,-3.610234,-2.4925797,-0.030658474,-0.030427953,-5.0235276e-06,-5.4903517e-06,-0.11364001,-0.0784594,-5.0235403e-06,-5.4903667e-06,-0.11363944,-0.078459,237.45987,132.8957,1.6573868,102.90678,102.04092,204.9477,-0.03090049349685402,0.030197893125085053
23,23,23,23,23,23,23,23,23,23,23,23,0.000179491,-0.00023441458,-1.953455e-05,-0.00017521897,-1.2578915,-0.86791575,-3.6186688,-2.4967968,-0.030888984,-0.030427953,-5.2636856e-06,-5.727811e-06,-0.11390552,-0.078592144,-5.2636997e-06,-5.7278276e-06,-0.11390492,-0.07859173,238.66365,133.3458,1.6573868,103.66048,102.78828,206.44876,-0.03090049349685402,0.030421521254591452
24,24,24,24,24,24,24,24,24,24,24,24,0.000187296,-0.00023500655,-1.953455e-05,-0.00017581096,-1.2608237,-0.87084806,-3.6271043,-2.5052326,-0.030888973,-0.030427953,-5.504743e-06,-5.9652707e-06,-0.11417104,-0.078857675,-5.504758e-06,-5.9652884e-06,-0.11417042,-0.07885724,239.87059,134.24835,1.6573868,103.96486,103.090096,207.05496,-0.03090049349685402,0.03042151058418925
25,25,25,25,25,25,25,25,25,25,25,25,0.0001950969999999,-0.00023559853,-1.923857e-05,-0.00017640289,-1.2622899,-0.8737801,-3.631322,-2.513667,-0.031119538,-0.02996692,-5.7467e-06,-6.2009312e-06,-0.114303805,-0.07912318,-5.7467164e-06,-6.2009503e-06,-0.11430315,-0.07912272,241.08058,135.15385,1.6075432,104.31918,103.44144,207.76062,-0.030425104973422296,0.030645142057804418
26,26,26,26,26,26,26,26,26,26,26,26,0.0002029009999999,-0.00023619046,-1.923857e-05,-0.00017699486,-1.265222,-0.8767123,-3.639757,-2.5221026,-0.031119494,-0.02996692,-5.9895565e-06,-6.434793e-06,-0.11456931,-0.0793887,-5.989574e-06,-6.4348133e-06,-0.11456862,-0.07938822,242.29352,136.06247,1.6075432,104.623505,103.743195,208.3667,-0.030425104973422296,0.03064509938573837
27,27,27,27,27,27,27,27,27,27,27,27,0.0002107039999999,-0.00023678245,-1.923857e-05,-0.0001775868,-1.2681543,-0.8796444,-3.6481922,-2.5305376,-0.031119538,-0.02996692,-6.232413e-06,-6.6686544e-06,-0.11483483,-0.0796542,-6.2324325e-06,-6.6686766e-06,-0.114834115,-0.0796537,243.5096,136.9741,1.6075432,104.92796,104.04509,208.97305,-0.030425104973422296,0.030645142057804418
28,28,28,28,28,28,28,28,28,28,28,28,0.0002185099999999,-0.00023737438,-1.8942594e-05,-0.00017817877,-1.2696202,-0.88257664,-3.6524093,-2.5389729,-0.031350013,-0.029505894,-6.476169e-06,-6.900717e-06,-0.11496758,-0.079919726,-6.47619e-06,-6.9007406e-06,-0.11496683,-0.07991921,244.72862,137.8888,1.5584611,105.281364,104.39552,209.67688,-0.029949949549679732,0.030868636267304433
29,29,29,29,29,29,29,29,29,29,29,29,0.0002263139999999,-0.00023796635,-1.8942594e-05,-0.00017847474,-1.2725524,-0.8840427,-3.6608448,-2.5431902,-0.031580545,-0.029505894,-6.721724e-06,-7.1309805e-06,-0.1152331,-0.08005248,-6.721746e-06,-7.131006e-06,-0.115232326,-0.08005194,245.95076,138.34727,1.5584611,106.04503,105.15276,211.19778,-0.029949949549679732,0.031092135793321568
30,30,30,30,30,30,30,30,30,30,30,30,0.0002341189999999,-0.00023855829,-1.8942594e-05,-0.00017906672,-1.2754844,-0.8869749,-3.6692798,-2.5516257,-0.031580523,-0.029505894,-6.968178e-06,-7.3612446e-06,-0.11549861,-0.080318004,-6.9682023e-06,-7.3612714e-06,-0.115497805,-0.080317445,247.17589,139.26656,1.5584611,106.350876,105.45603,211.80692,-0.029949949549679732,0.031092114466823716
