,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,True Strain Rate 1W,True Strain Rate 3W
48,48,48,48,48,48,48,48,48,48,48,48,0.0004612199999999,-0.00059476774,0.00043849146,-0.00017344314,-0.77408653,-0.85911953,-2.2268715,-2.471492,-0.6696454,0.6830154,-0.00027094228,0.00027403823,-0.07009565,-0.077795625,-0.00027097898,0.0002740007,-0.07007666,-0.07777455,0.5205870654936023,0.5126112685529847
49,49,49,49,49,49,49,49,49,49,49,49,0.000470832,-0.0005975795,0.00044085924,-0.00017418305,-0.7762858,-0.8627845,-2.2331984,-2.4820354,-0.6731031,0.6867035,-0.00027739335,0.00028061887,-0.070294805,-0.078127496,-0.00027743183,0.00028057952,-0.07027531,-0.07810582,0.5227760323374842,0.5146800459277708
50,50,50,50,50,50,50,50,50,50,50,50,0.0004804389999999,-0.0006005392,0.00044337506,-0.00017477502,-0.77848446,-0.86571676,-2.2395232,-2.490471,-0.6769065,0.69062227,-0.00028387932,0.0002872361,-0.07049389,-0.07839302,-0.0002839196,0.00028719482,-0.07047388,-0.078370765,0.5250966682639748,0.5169507269635455
51,51,51,51,51,51,51,51,51,51,51,51,0.000490045,-0.00060335145,0.0004458909,-0.00017551494,-0.7799526,-0.8693818,-2.2437468,-2.5010145,-0.6804799,0.6945411,-0.0002904007,0.00029389092,-0.07062684,-0.0787249,-0.00029044287,0.00029384776,-0.07060633,-0.07870204,0.5274119667132835,0.5190794073855188
52,52,52,52,52,52,52,52,52,52,52,52,0.000499658,-0.0006061632,0.0004482587,-0.00017610691,-0.78215146,-0.87231404,-2.2500725,-2.5094497,-0.6840528,0.69822925,-0.00029695642,0.00030058232,-0.07082596,-0.07899042,-0.00029700054,0.00030053715,-0.070804924,-0.07896697,0.5295860905544487,0.521203269247851
53,53,53,53,53,53,53,53,53,53,53,53,0.000509265,-0.00060912286,0.00045077453,-0.0001768469,-0.78435004,-0.8759794,-2.2563972,-2.5199943,-0.6877409,0.702148,-0.00030354704,0.00030731026,-0.071025044,-0.07932233,-0.00030359314,0.00030726305,-0.07100348,-0.07929825,0.5318909828924223,0.5233908891314988
54,54,54,54,54,54,54,54,54,54,54,54,0.000518873,-0.00061193464,0.00045314236,-0.0001775868,-0.7865491,-0.8796444,-2.2627234,-2.5305376,-0.6911987,0.7058363,-0.000310172,0.00031407474,-0.07122417,-0.0796542,-0.00031022012,0.00031402544,-0.07120208,-0.079629496,0.5340554890141204,0.5254375674485834
55,55,55,55,55,55,55,55,55,55,55,55,0.000528485,-0.00061489426,0.00045565816,-0.00017817877,-0.78874755,-0.88257664,-2.2690477,-2.5389729,-0.695002,0.709755,-0.00031683184,0.00032087578,-0.07142325,-0.079919726,-0.00031688204,0.00032082433,-0.07140062,-0.0798944,0.5363500853959449,0.5276839207727205
56,56,56,56,56,56,56,56,56,56,56,56,0.000538092,-0.00061785395,0.00045802598,-0.00017891874,-0.7916792,-0.8862419,-2.2774816,-2.5495172,-0.69857496,0.7134433,-0.0003235271,0.00032771338,-0.07168871,-0.08025163,-0.00032357944,0.00032765968,-0.07166552,-0.08022566,0.5385049716187086,0.5297896407032479
57,57,57,57,57,57,57,57,57,57,57,57,0.0005476989999999,-0.0006208141,0.00046054184,-0.00017965866,-0.7938799,-0.88990694,-2.2838125,-2.5600605,-0.70226353,0.71736205,-0.00033025726,0.0003345875,-0.071888,-0.08058351,-0.0003303118,0.00033453153,-0.071864255,-0.0805569,0.540789421655628,0.531958853653067
58,58,58,58,58,58,58,58,58,58,58,58,0.0005573099999999,-0.0006237737,0.00046305763,-0.00018025063,-0.7960784,-0.8928392,-2.290137,-2.568496,-0.70606685,0.7212808,-0.0003370234,0.00034149928,-0.07208707,-0.08084903,-0.00033708022,0.000341441,-0.072062775,-0.08082178,0.5430686648730362,0.5341906335303713
59,59,59,59,59,59,59,59,59,59,59,59,0.0005669179999999,-0.0006267334,0.00046557342,-0.00018099054,-0.79827714,-0.89650416,-2.2964623,-2.5790393,-0.709755,0.7251995,-0.00034382555,0.00034844872,-0.07228617,-0.08118091,-0.0003438847,0.00034838804,-0.07226132,-0.081153,0.545342695970039,0.5363500853959449
60,60,60,60,60,60,60,60,60,60,60,60,0.000576525,-0.00062969304,0.00046794125,-0.0001817305,-0.8012085,-0.9001695,-2.3048952,-2.5895836,-0.71332794,0.7288878,-0.0003506626,0.00035543472,-0.072551616,-0.08151281,-0.0003507241,0.00035537157,-0.07252617,-0.08148423,0.5474783115937764,0.5384376429340874
61,61,61,61,61,61,61,61,61,61,61,61,0.000586135,-0.00063265313,0.00047045705,-0.00018247047,-0.8034092,-0.90383476,-2.3112261,-2.6001277,-0.7170163,0.7328065,-0.0003575345,0.00036245724,-0.0727509,-0.08184471,-0.00035759842,0.00036239158,-0.07272489,-0.081815444,0.549742348411755,0.5405880751725488
62,62,62,62,62,62,62,62,62,62,62,62,0.000595745,-0.0006356128,0.0004729729,-0.00018321043,-0.8056077,-0.9075,-2.3175507,-2.610672,-0.72070456,0.73672533,-0.00036444186,0.00036951742,-0.072949976,-0.08217661,-0.00036450828,0.00036944918,-0.07292339,-0.08214666,0.5520013457972925,0.5427338348577315
63,63,63,63,63,63,63,63,63,63,63,63,0.000605352,-0.00063857244,0.0004754887,-0.00018395035,-0.80780613,-0.9111651,-2.3238752,-2.6212156,-0.7243926,0.740644,-0.00037138464,0.00037661527,-0.073149055,-0.08250849,-0.0003714536,0.00037654437,-0.07312189,-0.082477845,0.5542551596933265,0.5448748725339195
64,64,64,64,64,64,64,64,64,64,64,64,0.000614963,-0.0006416805,0.0004780045,-0.0001846903,-0.81073964,-0.9148303,-2.3323143,-2.6317594,-0.7281964,0.74456275,-0.00037836345,0.00038375077,-0.07341469,-0.08284039,-0.00037843504,0.00038367716,-0.073386915,-0.082809046,0.556503951189812,0.5470783213307574
65,65,65,65,65,65,65,65,65,65,65,65,0.000624571,-0.00064478803,0.0004805203,-0.00018528223,-0.81367075,-0.91776234,-2.3407462,-2.6401942,-0.732115,0.7484815,-0.00038537933,0.00039092393,-0.07368011,-0.08310589,-0.0003854536,0.00039084753,-0.073651716,-0.08307386,0.5587476969677503,0.5493432051646823
66,66,66,66,66,66,66,66,66,66,66,66,0.0006341779999999,-0.0006477477,0.0004830361,-0.0001860222,-0.81586945,-0.9214276,-2.3470714,-2.6507385,-0.73580307,0.7524002,-0.00039243174,0.00039813473,-0.07387921,-0.08343779,-0.00039250878,0.00039805548,-0.07385022,-0.08340505,0.560986391086794,0.551470170863383
67,67,67,67,67,67,67,67,67,67,67,67,0.0006437889999999,-0.0006508557,0.00048555198,-0.00018676216,-0.8188024,-0.9250929,-2.355509,-2.6612825,-0.73960674,0.75631905,-0.00039952018,0.00040538318,-0.074144796,-0.083769694,-0.00039960002,0.00040530105,-0.07411517,-0.083736226,0.5632201700530154,0.5536590761877381
68,68,68,68,68,68,68,68,68,68,68,68,0.000653395,-0.0006539633,0.00048806798,-0.00018750207,-0.82173276,-0.9287579,-2.3639388,-2.671826,-0.7434103,0.7602381,-0.00040664515,0.0004126693,-0.07441015,-0.084101565,-0.00040672786,0.00041258417,-0.07437989,-0.08406737,0.5654490839909021,0.5558431375737566
