Strain (mm/mm),SS316 Alloy Back Surface,SS316 Alloy Front Surface,Al 356 Alloy Back Surface,Al 356 Alloy Front Surface,SS 316 - Al 356 Composite Back Surface,SS 316 - Al 356 Composite Front Surface
-0.00033194275,235.81117,4.9463716,296.15805,136.56305,507.68988,192.81702
-0.00034409802,236.37668,5.1115847,295.83505,136.29752,507.3199,192.46754
-0.0003562531,236.94266,5.2765408,295.5103,136.03328,506.9458,192.11995
-0.00036840804,237.50919,5.4412374,295.18387,135.77032,506.56784,191.77423
-0.00038056288,238.07625,5.605676,294.85568,135.50873,506.18582,191.43037
-0.0003928366,238.64388,5.769882,294.5257,135.24841,505.79996,191.08841
-0.00040499118,239.21198,5.9338303,294.19406,134.98949,505.41003,190.74838
-0.00041726464,239.78061,6.097494,293.8607,134.73186,505.01614,190.4103
-0.000429538,240.3498,6.260926,293.5256,134.47563,504.61826,190.07405
-0.00044181122,240.91951,6.424073,293.18878,134.22073,504.21652,189.73982
-0.00045420343,241.48975,6.586937,292.8502,133.96722,503.81076,189.4075
-0.00046647634,242.06047,6.7495937,292.50998,133.71513,503.40103,189.07715
-0.0004788683,242.63179,6.9119153,292.16803,133.4644,502.9874,188.74875
-0.00049125997,243.2036,7.0740037,291.82443,133.21509,502.56982,188.4224
-0.00050365156,243.77596,7.235783,291.47913,132.96718,502.1483,188.09796
-0.0005160431,244.34882,7.39733,291.1321,132.72072,501.7228,187.77559
-0.0005285535,244.92223,7.5585675,290.78345,132.47566,501.29343,187.45522
-0.0005410637,245.49617,7.719521,290.43307,132.23209,500.8602,187.13686
-0.00055345474,246.07057,7.8801904,290.08102,131.98994,500.4229,186.82057
-0.0005659647,246.64557,8.040576,289.7274,131.7493,499.98178,186.50633
-0.00057847454,247.22105,8.200677,289.37207,131.51012,499.53674,186.19412
-0.00059110334,247.79706,8.360471,289.015,131.27243,499.0878,185.88396
-0.0006036128,248.37361,8.520004,288.65637,131.03621,498.63498,185.57594
-0.00061624125,248.95068,8.67923,288.29608,130.80153,498.1783,185.27003
-0.0006288697,249.52826,8.838144,287.93417,130.56834,497.71765,184.96619
-0.0006414978,250.10635,8.996724,287.5706,130.3367,497.25317,184.66446
-0.0006541258,250.68498,9.1550455,287.2054,130.10661,496.78485,184.36491
-0.0006668728,251.26414,9.313033,286.83862,129.87807,496.31265,184.06743
-0.0006795004,251.84381,9.47071,286.47018,129.65103,495.83658,183.77211
-0.00069224706,252.42401,9.628103,286.10016,129.42563,495.3567,183.47903
-0.00070499355,253.00471,9.785136,285.72855,129.20175,494.8729,183.18808
-0.00071773987,253.58594,9.941884,285.35535,128.97949,494.38535,182.89928
-0.000730486,254.1677,10.098298,284.9805,128.75882,493.8939,182.61273
-0.00074335124,254.74995,10.254376,284.60413,128.53976,493.39868,182.32837
-0.000756097,255.33272,10.410146,284.22617,128.32231,492.8996,182.0462
-0.00076896173,255.91599,10.565554,283.8466,128.10648,492.39673,181.7663
-0.00078182644,256.49982,10.720653,283.46548,127.892296,491.8901,181.4886
-0.00079480995,257.08414,10.875443,283.08286,127.679756,491.3796,181.21318
-0.00080767437,257.669,11.029846,282.6986,127.46888,490.8654,180.94003
-0.0008206576,258.25436,11.183914,282.31287,127.25964,490.3474,180.66919
-0.00083352154,258.8402,11.337672,281.9255,127.0521,489.8256,180.40059
-0.0008465044,259.42657,11.491045,281.5367,126.84629,489.30008,180.1343
-0.00085960625,260.01352,11.644082,281.1464,126.64213,488.77075,179.87032
-0.0008725889,260.6009,11.796758,280.75452,126.43965,488.23776,179.60869
-0.0008856903,261.1888,11.949074,280.36108,126.23893,487.7009,179.34932
-0.0008986726,261.7772,12.101029,279.9662,126.03994,487.16046,179.09233
-0.00091177376,262.36612,12.252624,279.5698,125.84264,486.61627,178.83772
-0.0009248747,262.95557,12.403857,279.17188,125.647125,486.06833,178.58546
-0.00093809457,263.5455,12.554704,278.77252,125.45334,485.51672,178.33559
-0.00095119525,264.13593,12.705192,278.3717,125.261314,484.96143,178.0881
-0.0009644149,264.72687,12.855292,277.9694,125.07106,484.40244,177.84299
-0.0009776341,265.3183,13.005005,277.5656,124.882614,483.83978,177.60031
-0.0009908534,265.91025,13.15436,277.16034,124.69596,483.2735,177.36005
-0.0010040724,266.50272,13.303328,276.7537,124.51108,482.70355,177.1222
-0.0010172913,267.09564,13.451882,276.34555,124.328026,482.1299,176.88676
-0.001030629,267.68912,13.600051,275.936,124.1468,481.55273,176.65384
-0.0010439666,268.28305,13.7478075,275.52502,123.96739,480.97183,176.42337
-0.0010573041,268.8775,13.895178,275.11258,123.78984,480.38742,176.19542
-0.0010706413,269.47238,14.042139,274.6988,123.614136,479.79938,175.96986
-0.0010840975,270.06784,14.188711,274.28354,123.44028,479.20773,175.74684
-0.0010974343,270.66376,14.334846,273.8669,123.2683,478.61252,175.52638
-0.0011108902,271.26016,14.480595,273.44897,123.09818,478.01367,175.30838
-0.0011243457,271.85706,14.625906,273.02954,122.92998,477.41138,175.09291
-0.0011378011,272.45447,14.770754,272.6088,122.76364,476.80548,174.88002
-0.0011513755,273.05237,14.915242,272.18668,122.59921,476.19604,174.66972
-0.0011648306,273.6507,15.059266,271.7632,122.436714,475.58313,174.4619
-0.0011784045,274.24957,15.202854,271.33838,122.276146,474.96667,174.2567
-0.0011919782,274.8489,15.346004,270.91217,122.117516,474.34668,174.05406
-0.0012055518,275.4487,15.488741,270.48468,121.960815,473.7233,173.85403
-0.0012192443,276.04904,15.631017,270.05582,121.80607,473.09637,173.6566
-0.0012328175,276.6498,15.772853,269.62567,121.653305,472.46597,173.4618
-0.0012465096,277.25107,15.914203,269.1942,121.50244,471.83218,173.26962
-0.0012602014,277.8528,16.055138,268.76144,121.353645,471.19485,173.08012
-0.0012738932,278.455,16.195562,268.32742,121.20678,470.5542,172.89322
-0.0012877038,279.0577,16.335573,267.8921,121.06192,469.9101,172.70903
-0.0013015142,279.6609,16.475092,267.45547,120.91911,469.26263,172.52747
-0.0013152051,280.2645,16.614153,267.01758,120.778275,468.6117,172.34856
-0.0013290155,280.86856,16.752722,266.57846,120.639465,467.95743,172.17244
-0.0013429442,281.4732,16.89083,266.1381,120.502686,467.29974,171.99896
