Time (ms),SS316 Alloy True Strain 1W,SS316 Alloy True Strain 3W,Al 356 Alloy True Strain 1W,Al 356 Alloy True Strain 3W,SS 316 - Al 356 Composite True Strain 1W,SS 316 - Al 356 Composite True Strain 3W
0.018315352,-0.0018870897,0.00094380794,-0.0016042233,0.0011599829,-0.0017774988,0.001043208
0.018330377,-0.0019019624,0.00095120596,-0.0016150537,0.0011682179,-0.0017899934,0.0010511437
0.0183454,-0.0019168351,0.00095866364,-0.0016258843,0.0011763934,-0.001802488,0.0010590794
0.018360427,-0.0019317076,0.00096612144,-0.0016368337,0.0011846285,-0.0018149822,0.001067075
0.01837545,-0.0019465802,0.00097357924,-0.0016476639,0.0011928638,-0.0018274763,0.001075011
0.018390477,-0.0019614522,0.000981037,-0.001658494,0.0012010394,-0.0018399706,0.0010830066
0.0184055,-0.0019764428,0.0009885547,-0.0016693241,0.0012092746,-0.0018523454,0.0010910023
0.018420527,-0.0019914336,0.0009960723,-0.001680154,0.0012175101,-0.0018648392,0.0010989981
0.01843555,-0.002006424,0.00100359,-0.0016909838,0.0012257457,-0.0018773328,0.0011069939
0.018450575,-0.0020214138,0.0010111078,-0.0017018133,0.0012339811,-0.001889826,0.0011149897
0.0184656,-0.002036523,0.0010186256,-0.001712524,0.0012422167,-0.0019023195,0.0011230455
0.018480625,-0.0020516317,0.0010262032,-0.0017233534,0.0012504525,-0.0019148125,0.0011311012
0.018495651,-0.00206674,0.0010337806,-0.0017341827,0.0012586883,-0.0019271866,0.001139157
0.018510675,-0.0020818484,0.0010413583,-0.001745012,0.0012669241,-0.0019396794,0.0011472724
0.018525701,-0.002097075,0.0010489958,-0.0017557219,0.00127516,-0.0019521718,0.0011553282
0.018540725,-0.002112183,0.0010565735,-0.0017665508,0.0012834556,-0.0019646646,0.0011634438
0.018555751,-0.0021274094,0.001064211,-0.0017772608,0.0012916916,-0.0019771566,0.0011715597
0.018570775,-0.0021426356,0.0010718486,-0.0017880894,0.0012999874,-0.0019895302,0.0011796755
0.0185858,-0.0021579806,0.0010794861,-0.001798799,0.0013082236,-0.002002022,0.0011877912
0.018600825,-0.0021732063,0.0010871834,-0.0018096275,0.0013165195,-0.0020145138,0.0011959667
0.01861585,-0.002188551,0.0010948809,-0.0018203368,0.0013247558,-0.0020270057,0.0012041423
0.018630875,-0.0022038952,0.0011025782,-0.0018310463,0.001333052,-0.002039378,0.0012123182
0.0186459,-0.0022193578,0.0011102759,-0.0018418744,0.0013413482,-0.0020518696,0.0012204939
0.018660925,-0.002234702,0.0011179734,-0.0018525833,0.0013496443,-0.0020643608,0.0012287294
0.01867595,-0.0022501643,0.0011257307,-0.0018632923,0.0013579405,-0.002076852,0.0012369053
0.018690974,-0.0022656268,0.001133488,-0.0018740012,0.0013662368,-0.0020892238,0.001245141
0.018706,-0.0022810888,0.0011412455,-0.0018847098,0.0013745334,-0.0021017147,0.0012534364
0.018721024,-0.0022966694,0.0011490626,-0.0018954183,0.0013828297,-0.0021142052,0.0012616722
0.01873605,-0.00231225,0.0011568202,-0.001906127,0.0013911263,-0.0021265764,0.0012699082
0.018751074,-0.0023278298,0.0011646374,-0.0019168351,0.0013994826,-0.002139067,0.0012782038
0.0187661,-0.0023434102,0.0011724548,-0.0019275434,0.0014077793,-0.002151557,0.0012864994
0.018781124,-0.00235899,0.0011803319,-0.0019381326,0.0014160761,-0.0021639282,0.0012948547
0.018796148,-0.0023746882,0.0011881492,-0.0019488407,0.0014244325,-0.002176418,0.0013031507
0.018811174,-0.0023903865,0.0011960266,-0.0019595486,0.0014327294,-0.0021887887,0.0013115063
0.018826198,-0.0024060842,0.0012039037,-0.0019701372,0.0014410861,-0.0022012782,0.0013198619
0.018841224,-0.002421782,0.0012118408,-0.001980845,0.0014494428,-0.002213768,0.0013282176
0.018856248,-0.0024375985,0.0012197183,-0.0019914336,0.0014577399,-0.002226138,0.0013365733
0.018871274,-0.0024534147,0.0012276552,-0.002002141,0.0014660968,-0.002238627,0.0013449889
0.018886298,-0.0024692307,0.0012355924,-0.0020127294,0.0014744537,-0.002250997,0.0013533448
0.018901322,-0.0024850462,0.0012435297,-0.0020233176,0.0014828106,-0.002263367,0.0013617603
0.018916348,-0.0025009804,0.0012515266,-0.0020340246,0.0014911677,-0.0022758555,0.0013702358
0.018931372,-0.0025169144,0.0012595237,-0.0020446128,0.0014995249,-0.0022882249,0.0013786517
0.018946398,-0.002532848,0.0012675208,-0.0020552005,0.0015079419,-0.0023007134,0.0013871272
0.018961422,-0.0025487817,0.0012755181,-0.0020657885,0.0015162991,-0.0023130823,0.0013956028
0.018976448,-0.0025648335,0.0012835751,-0.002076376,0.0015246565,-0.0023254517,0.0014040786
0.018991472,-0.0025808858,0.0012915723,-0.0020869635,0.0015330735,-0.002337939,0.0014125543
0.019006496,-0.0025969371,0.0012996295,-0.0020975508,0.001541431,-0.002350308,0.0014210899
0.019021522,-0.0026129887,0.0013077462,-0.0021080195,0.0015498482,-0.0023626764,0.0014296256
0.019036546,-0.0026290396,0.0013158033,-0.0021186068,0.0015582059,-0.002375164,0.0014381611
0.019051572,-0.0026452094,0.0013239203,-0.0021291936,0.0015666233,-0.0023875323,0.001446697
0.019066596,-0.0026613788,0.0013320373,-0.002139662,0.0015750407,-0.0023999005,0.0014552329
0.019081622,-0.0026776674,0.0013401544,-0.0021502485,0.0015834584,-0.0024122682,0.0014638285
0.019096646,-0.0026938359,0.0013483312,-0.0021608355,0.0015918759,-0.0024246362,0.0014724241
0.01911167,-0.002710124,0.0013564484,-0.002171303,0.0016002936,-0.0024370037,0.00148102
